epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,3563.34,0.59433,0.45811,0.86155,0.82535,0.71239,0.78676,0.64818,0.66321,0.59453,0.95747,0.0018325,0.0018325,0.0018325
167,3599.76,0.58729,0.46245,0.8642,0.83071,0.70747,0.78492,0.645,0.66521,0.58757,0.95789,0.001783,0.001783,0.001783
168,3620.45,0.58747,0.45377,0.856,0.82878,0.71249,0.77551,0.63439,0.66662,0.59085,0.95808,0.0017335,0.0017335,0.0017335
169,3656.89,0.59379,0.45901,0.85841,0.82912,0.70558,0.77481,0.64148,0.66529,0.59031,0.9583,0.001684,0.001684,0.001684
170,3677.6,0.58337,0.45636,0.85539,0.82937,0.70995,0.76873,0.63504,0.66153,0.59241,0.95466,0.0016345,0.0016345,0.0016345
171,3714.03,0.57698,0.43901,0.85114,0.81286,0.71227,0.76389,0.63451,0.65918,0.59443,0.95362,0.001585,0.001585,0.001585
172,3734.75,0.57487,0.44624,0.85389,0.81008,0.71123,0.75839,0.63218,0.65706,0.58557,0.95203,0.0015355,0.0015355,0.0015355
173,3771.33,0.56844,0.43603,0.8527,0.82181,0.7082,0.76452,0.63219,0.65761,0.59016,0.95159,0.001486,0.001486,0.001486
174,3792.08,0.57923,0.45441,0.85393,0.81253,0.7112,0.76599,0.63363,0.65716,0.5945,0.95195,0.0014365,0.0014365,0.0014365
175,3828.66,0.57302,0.44385,0.85749,0.81124,0.71734,0.75778,0.63159,0.65913,0.5907,0.95218,0.001387,0.001387,0.001387
176,3849.33,0.5821,0.44304,0.85105,0.81696,0.71147,0.7616,0.63487,0.65871,0.58594,0.95164,0.0013375,0.0013375,0.0013375
177,3885.82,0.57562,0.44926,0.85252,0.81909,0.71053,0.76776,0.64058,0.65985,0.58854,0.95218,0.001288,0.001288,0.001288
178,3906.57,0.5757,0.44266,0.8509,0.80551,0.72215,0.76906,0.64439,0.66134,0.58777,0.95262,0.0012385,0.0012385,0.0012385
179,3927.28,0.57072,0.43582,0.85691,0.80908,0.72307,0.77759,0.65337,0.66256,0.58156,0.95452,0.001189,0.001189,0.001189
180,3962.64,0.56075,0.43124,0.85178,0.8042,0.72979,0.77303,0.64946,0.66467,0.58553,0.95632,0.0011395,0.0011395,0.0011395
181,3983.33,0.56025,0.43417,0.85443,0.80312,0.72566,0.78375,0.65141,0.6636,0.59082,0.95758,0.00109,0.00109,0.00109
